Year,Quarter,AvgReturn,AvgVolatility,GDPGrowth,InflationTrend,CompanyCount
2025,4,0.0,0.0,29825.181640625,316.5386962890625,92
2025,3,0.1234552547120193,112.85794635440992,29511.6640625,314.1827087402344,92
2025,2,0.14410895916997737,157.64176650669265,29147.044921875,313.095703125,92
2025,1,0.05235630496400003,123.91799236380535,28708.16015625,310.97430419921875,92
2024,4,0.0,0.0,29825.181640625,316.5386962890625,93
2024,3,0.10101849538889086,113.48976767581442,29511.6640625,314.1827087402344,92
2024,2,-0.0618562783802981,122.50231195532757,29147.044921875,313.095703125,92
2024,1,0.23490544975198724,111.15109014511108,28708.16015625,310.97430419921875,92
2023,4,0.18330876071653937,28.83019897730454,29825.181640625,316.5386962890625,92
2023,3,0.0362265408039093,108.05427397852358,29511.6640625,314.1827087402344,92
2023,2,0.0750900058192201,114.39141476672629,29147.044921875,313.095703125,92
2023,1,0.046598288586170857,122.16982862223749,28708.16015625,310.97430419921875,92
2022,4,0.17952078465208576,139.64168389026935,29825.181640625,316.5386962890625,91
2022,3,-0.037941515864157636,136.14634946187337,29511.6640625,314.1827087402344,90
2022,2,-0.218235325647725,141.35024354722765,29147.044921875,313.095703125,90
2022,1,0.080882436906298,130.5245958328247,28708.16015625,310.97430419921875,90
2021,4,0.1151752855761775,106.32107925415039,29825.181640625,316.5386962890625,91
2021,3,-0.02133173325129754,95.81483337905381,29511.6640625,314.1827087402344,91
2021,2,0.1017495343259505,99.03250285557338,29147.044921875,313.095703125,91
2021,1,0.23724077723838471,130.3718709421682,28708.16015625,310.97430419921875,91
