Year,AvgReturn,AvgUSD_INR,AvgVolatility,CompanyCount,Correlation
1996,0.10581456964393154,35.509160679241205,1.6992753848141098,37,0.06496605940239628
1997,0.12596580351511655,36.3544981583665,1.8078120782782963,37,0.06496605940239628
1998,0.09063049791780585,41.37160952285981,2.097170036550306,36,0.06496605940239628
1999,0.05371301781180144,43.12778973416092,2.4384598014888565,46,0.06496605940239628
2000,0.09542502687232603,45.002669072842174,2.8882510176742966,51,0.06496605940239628
2001,0.021072496674398745,47.213909844357524,2.30254893717231,52,0.06496605940239628
2002,-0.03834782021788088,48.62585832549165,2.369873261847758,54,0.06496605940239628
2003,0.12290299870283818,46.59201140365769,1.7485951025748336,60,0.06496605940239628
2004,0.061048410214389934,45.28305128357781,1.3561037219650118,61,0.06496605940239628
2005,0.03937447753758966,44.002335181982005,1.2633492629478442,59,0.06496605940239628
2006,0.07776721067546413,45.18721626821671,1.3103924242494003,63,0.06496605940239628
2007,0.030721942428646672,41.168986731948685,1.5371027142657405,64,0.06496605940239628
2008,-0.1384076251464495,43.4256283840954,3.591892804568059,67,0.06496605940239628
2009,0.15696283822637205,48.33588722022804,2.992210300169814,67,0.06496605940239628
2010,0.08681041494343786,45.6544886029016,1.9680807753985243,66,0.06496605940239628
2011,0.01344218479846732,46.59012905244267,1.9851213899566653,69,0.06496605940239628
2012,0.08309922402421745,53.376335910460206,1.7024402757699109,72,0.06496605940239628
2013,0.18209608528652482,58.54630806958965,1.6900382010717299,73,0.06496605940239628
2014,0.10763675678644255,60.98947955004132,1.512827913063777,73,0.06496605940239628
2015,0.014913105483614499,64.11557745912245,1.644190633904953,77,0.06496605940239628
2016,0.07009528503252516,67.1578102776892,1.6231331786921288,80,0.06496605940239628
2017,0.08722533298877448,65.06817515423172,1.3248311017487677,81,0.06496605940239628
2018,-0.039298601024291786,68.38178082569647,1.6243472529865999,81,0.06496605940239628
2019,0.11548487605301715,70.3789645869381,1.7090118435359096,86,0.06496605940239628
2020,0.09906552997678106,74.13924723672469,3.054952665262205,91,0.06496605940239628
2021,0.10667979691127838,73.93761076508476,1.7194345690118509,91,0.06496605940239628
2022,0.004366054409142335,78.59121629349737,2.188105366743471,91,0.06496605940239628
2023,0.06964408655172602,82.57421233562242,1.795534780911021,92,0.06496605940239628
2024,0.07655418285779758,83.65101744008061,1.8502714215420228,93,0.06496605940239628
2025,0.09159032505501798,86.79108472627341,2.057946136372515,92,0.06496605940239628
