sector,next_year,next_quarter,predicted_return,volatility,ci_lower,ci_upper
Diversified Financials,2026,1,0.32008811169200474,5.042407621939978,-0.425317278798727,1.0654935021827365
Semiconductors and Other Electronic Components,2026,1,0.33175022651751834,3.9506372809410095,-0.14656794760227465,0.8100684006373113
Wholesalers: Health Care,2026,1,0.27245933810869855,1.5290209501981735,-0.11734549463002952,0.6622641708474266
Industrial and Farm Equipment,2026,1,0.36788561940193176,1.8766529560089111,-0.07860612488136959,0.8143773636852332
"Computers, Office Equipment",2026,1,0.16709580024083456,1.8732690811157227,-0.09710213234754436,0.43129373282921346
Motor Vehicles & Parts,2026,1,0.21047045290470123,2.088077634572983,0.09296046496823175,0.32798044084117073
Food & Drug Stores,2026,1,0.05112529297669729,1.7851163297891617,-0.31816166466820966,0.4204122506216042
Network and Other Communications Equipment,2026,1,0.17371887806802988,1.3818441927433014,-0.060682031954670396,0.40811978809073013
Securities,2026,1,0.22238547851641974,1.786352276802063,-0.09223456812648742,0.5370055251593269
Commercial Banks,2026,1,0.12100453736881416,1.6079696317513783,-0.08493917776989655,0.32694825250752485
