ticker,company,date,sentiment_score,article_count,bullish,bearish,neutral
WMT,Walmart,2025-11-24,0.0,9,0,0,9
AMZN,Amazon,2025-11-24,0.0,10,2,2,6
APLE,Apple,2025-11-24,0.2,10,3,1,6
GOOGL,Alphabet,2025-11-24,0.6667,3,2,0,1
JPM,JPMorgan Chase,2025-11-24,0.0,1,0,0,1
COST,Costco,2025-11-24,0.0,4,0,0,4
MSFT,Microsoft,2025-11-24,0.0833,8,2,2,4
BAC,Bank of America,2025-11-24,-0.2,10,1,3,6
F,Ford Motor,2025-11-24,0.0,1,0,0,1
CITI.NE,Citi,2025-11-24,0.0,2,0,0,2
META,Meta,2025-11-24,0.0,10,2,2,6
HD,Home Depot,2025-11-24,-0.3333,3,0,1,2
KR,Kroger,2025-11-24,0.3333,3,1,0,2
PSX,Phillips 66,2025-11-24,0.0,3,1,1,1
VZ,Verizon,2025-11-24,0.0,1,0,0,1
NVDA,Nvidia,2025-11-24,0.0,6,1,1,4
GSBD,Goldman Sachs,2025-11-24,-1.0,1,0,1,0
WFC,Wells Fargo,2025-11-24,-0.2,10,0,2,8
CMCSA,Comcast,2025-11-24,-1.0,1,0,1,0
ALL,State Farm,2025-11-24,0.1667,6,2,1,3
ATT.L,AT&T,2025-11-24,0.1,10,1,0,9
MS,Morgan Stanley,2025-11-24,-0.5,2,0,1,1
TGT,Target,2025-11-24,0.2,10,3,1,6
TSLA,Tesla,2025-11-24,-0.1,10,0,1,9
DIS,Walt Disney,2025-11-24,0.0,2,0,0,2
UPS,UPS,2025-11-24,-0.1111,9,2,3,4
JNJ,Johnson & Johnson,2025-11-24,0.3,10,3,0,7
ET,Energy Transfer,2025-11-24,-0.1667,6,0,1,5
RTX,RTX,2025-11-24,0.0,2,0,0,2
PGR,Progressive,2025-11-24,0.1,10,2,1,7
AXP,American Express,2025-11-24,-0.2,10,0,2,8
ALL,Allstate,2025-11-24,0.5,2,1,0,1
IBM,IBM,2025-11-24,0.0,2,0,0,2
601336.SS,New York Life Insurance,2025-11-24,-1.0,1,0,1,0
UAL,United Airlines,2025-11-24,-0.1667,6,1,2,3
COP,ConocoPhillips,2025-11-24,0.5,2,1,0,1
PFGC,Performance Food,2025-11-24,0.0,9,1,1,7
AAL,American Airlines,2025-11-24,0.1429,7,3,2,2
HP,HP,2025-11-24,0.3333,3,1,0,2
INTC,Intel,2025-11-24,0.25,4,1,0,3
ORCL,Oracle,2025-11-24,-0.5,4,0,2,2
DE,Deere,2025-11-24,0.0,1,0,0,1
NKE,Nike,2025-11-24,0.0,1,0,0,1
GD,General Dynamics,2025-11-24,0.0,3,0,0,3
TRV,Travelers,2025-11-24,0.25,4,1,0,3
